id,title,authors,year,abstract,keywords,category,document_type,language,source_url,file_url
27,Неорганическая химия: практические аспекты,Васильева Н.Н.,2023,"Рассматриваются теоретические и прикладные аспекты темы «неорганическая химия», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",неорганическая химия; соединения; металлы; реакции,Химия,thesis,ru,,/files/doc27.pdf
28,Физическая химия,Алексеев К.П.,2017,"Рассматриваются теоретические и прикладные аспекты темы «физическая химия», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",термодинамика; кинетика; растворы; энергия,Химия,book,ru,,/files/doc28.pdf
29,Аналитическая химия,Егорова Т.В.,2019,"Рассматриваются теоретические и прикладные аспекты темы «аналитическая химия», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",анализ веществ; титрование; спектроскопия; лаборатория,Химия,article,ru,,/files/doc29.pdf
30,Экологическая химия: практические аспекты,Орлов А.А.,2021,"Рассматриваются теоретические и прикладные аспекты темы «экологическая химия», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",экология; загрязнение; химия среды; мониторинг,Химия,manual,ru,,/files/doc30.pdf
31,Квантовая физика,Морозова Е.В.,2023,"Рассматриваются теоретические и прикладные аспекты темы «квантовая физика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",квантовая физика; волновая функция; частицы; измерения,Физика,thesis,ru,,/files/doc31.pdf
32,Механика,Никитин Р.С.,2017,"Рассматриваются теоретические и прикладные аспекты темы «механика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",механика; движение; силы; динамика,Физика,book,ru,,/files/doc32.pdf
33,Электродинамика: практические аспекты,Соколова Ю.П.,2019,"Рассматриваются теоретические и прикладные аспекты темы «электродинамика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",электродинамика; поле; ток; магнетизм,Физика,article,ru,,/files/doc33.pdf
34,Оптика,Попов Д.С.,2021,"Рассматриваются теоретические и прикладные аспекты темы «оптика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",оптика; свет; линзы; интерференция,Физика,manual,ru,,/files/doc34.pdf
35,Термодинамика,Фролова И.А.,2023,"Рассматриваются теоретические и прикладные аспекты темы «термодинамика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",термодинамика; теплота; энтропия; энергия,Физика,thesis,ru,,/files/doc35.pdf
36,История России XX века: практические аспекты,Лебедев М.А.,2017,"Рассматриваются теоретические и прикладные аспекты темы «история россии xx века», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",история; россия; xx век; реформы,История,book,ru,,/files/doc36.pdf
37,Всеобщая история,Васильева Н.Н.,2019,"Рассматриваются теоретические и прикладные аспекты темы «всеобщая история», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",история; цивилизации; международные отношения; войны,История,article,ru,,/files/doc37.pdf
38,Историография,Алексеев К.П.,2021,"Рассматриваются теоретические и прикладные аспекты темы «историография», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",историография; методология; источники; исследование,История,manual,ru,,/files/doc38.pdf
39,Археология: практические аспекты,Егорова Т.В.,2023,"Рассматриваются теоретические и прикладные аспекты темы «археология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",археология; раскопки; древности; материальная культура,История,thesis,ru,,/files/doc39.pdf
40,Культурология,Орлов А.А.,2017,"Рассматриваются теоретические и прикладные аспекты темы «культурология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",культура; традиции; общество; символы,История,book,ru,,/files/doc40.pdf
41,Теория литературы,Морозова Е.В.,2019,"Рассматриваются теоретические и прикладные аспекты темы «теория литературы», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",литература; жанры; поэтика; текст,Филология,article,ru,,/files/doc41.pdf
42,Русский язык и культура речи: практические аспекты,Никитин Р.С.,2021,"Рассматриваются теоретические и прикладные аспекты темы «русский язык и культура речи», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",русский язык; речь; стилистика; коммуникация,Филология,manual,ru,,/files/doc42.pdf
43,Лингвистика текста,Соколова Ю.П.,2023,"Рассматриваются теоретические и прикладные аспекты темы «лингвистика текста», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",лингвистика; текст; дискурс; семантика,Филология,thesis,ru,,/files/doc43.pdf
44,Переводоведение,Попов Д.С.,2017,"Рассматриваются теоретические и прикладные аспекты темы «переводоведение», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",перевод; эквивалентность; терминология; языки,Филология,book,ru,,/files/doc44.pdf
45,Современная русская литература: практические аспекты,Фролова И.А.,2019,"Рассматриваются теоретические и прикладные аспекты темы «современная русская литература», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",русская литература; современность; авторы; анализ,Филология,article,ru,,/files/doc45.pdf
46,Макроэкономика,Лебедев М.А.,2021,"Рассматриваются теоретические и прикладные аспекты темы «макроэкономика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",экономика; ввп; инфляция; рынок,Экономика,manual,ru,,/files/doc46.pdf
47,Микроэкономика,Васильева Н.Н.,2023,"Рассматриваются теоретические и прикладные аспекты темы «микроэкономика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",экономика; спрос; предложение; фирма,Экономика,thesis,ru,,/files/doc47.pdf
48,Финансы и кредит: практические аспекты,Алексеев К.П.,2017,"Рассматриваются теоретические и прикладные аспекты темы «финансы и кредит», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",финансы; банки; кредит; инвестиции,Экономика,book,ru,,/files/doc48.pdf
49,Бухгалтерский учет,Егорова Т.В.,2019,"Рассматриваются теоретические и прикладные аспекты темы «бухгалтерский учет», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",бухгалтерия; отчетность; баланс; учет,Экономика,article,ru,,/files/doc49.pdf
50,Маркетинг,Орлов А.А.,2021,"Рассматриваются теоретические и прикладные аспекты темы «маркетинг», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",маркетинг; рынок; потребители; бренд,Экономика,manual,ru,,/files/doc50.pdf
51,Конституционное право: практические аспекты,Морозова Е.В.,2023,"Рассматриваются теоретические и прикладные аспекты темы «конституционное право», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",право; конституция; государство; нормы,Юриспруденция,thesis,ru,,/files/doc51.pdf
52,Гражданское право,Никитин Р.С.,2017,"Рассматриваются теоретические и прикладные аспекты темы «гражданское право», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",гражданское право; договор; имущество; обязательства,Юриспруденция,book,ru,,/files/doc52.pdf
53,Уголовное право,Соколова Ю.П.,2019,"Рассматриваются теоретические и прикладные аспекты темы «уголовное право», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",уголовное право; преступление; ответственность; санкции,Юриспруденция,article,ru,,/files/doc53.pdf
54,Международное право: практические аспекты,Попов Д.С.,2021,"Рассматриваются теоретические и прикладные аспекты темы «международное право», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",международное право; договоры; государства; юрисдикция,Юриспруденция,manual,ru,,/files/doc54.pdf
55,Трудовое право,Фролова И.А.,2023,"Рассматриваются теоретические и прикладные аспекты темы «трудовое право», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",трудовое право; работник; договор; занятость,Юриспруденция,thesis,ru,,/files/doc55.pdf
56,Педагогика высшей школы,Лебедев М.А.,2017,"Рассматриваются теоретические и прикладные аспекты темы «педагогика высшей школы», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",педагогика; образование; обучение; университет,Педагогика,book,ru,,/files/doc56.pdf
57,Методика преподавания информатики: практические аспекты,Васильева Н.Н.,2019,"Рассматриваются теоретические и прикладные аспекты темы «методика преподавания информатики», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",методика; информатика; урок; обучение,Педагогика,article,ru,,/files/doc57.pdf
58,Психология развития,Алексеев К.П.,2021,"Рассматриваются теоретические и прикладные аспекты темы «психология развития», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",психология; развитие; личность; возраст,Психология,manual,ru,,/files/doc58.pdf
59,Социальная психология,Егорова Т.В.,2023,"Рассматриваются теоретические и прикладные аспекты темы «социальная психология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",социальная психология; группы; общение; поведение,Психология,thesis,ru,,/files/doc59.pdf
60,Когнитивная психология: практические аспекты,Орлов А.А.,2017,"Рассматриваются теоретические и прикладные аспекты темы «когнитивная психология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",когнитивная психология; память; внимание; мышление,Психология,book,ru,,/files/doc60.pdf
61,Социология организаций,Морозова Е.В.,2019,"Рассматриваются теоретические и прикладные аспекты темы «социология организаций», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",социология; организация; общество; структура,Социология,article,ru,,/files/doc61.pdf
62,Политология,Никитин Р.С.,2021,"Рассматриваются теоретические и прикладные аспекты темы «политология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",политика; власть; институты; общество,Социология,manual,ru,,/files/doc62.pdf
63,Межкультурная коммуникация: практические аспекты,Соколова Ю.П.,2023,"Рассматриваются теоретические и прикладные аспекты темы «межкультурная коммуникация», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",культура; коммуникация; общество; идентичность,Социология,thesis,ru,,/files/doc63.pdf
64,Алгоритмы и структуры данных,Попов Д.С.,2017,"Рассматриваются теоретические и прикладные аспекты темы «алгоритмы и структуры данных», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",алгоритмы; структуры данных; сложность; программирование,Информатика,book,ru,,/files/doc64.pdf
65,Компьютерные сети,Фролова И.А.,2019,"Рассматриваются теоретические и прикладные аспекты темы «компьютерные сети», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",сети; tcp/ip; маршрутизация; протоколы,Информатика,article,ru,,/files/doc65.pdf
66,Операционные системы: практические аспекты,Лебедев М.А.,2021,"Рассматриваются теоретические и прикладные аспекты темы «операционные системы», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",операционные системы; процессы; память; linux,Информатика,manual,ru,,/files/doc66.pdf
67,Инженерия программного обеспечения,Васильева Н.Н.,2023,"Рассматриваются теоретические и прикладные аспекты темы «инженерия программного обеспечения», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",программная инженерия; тестирование; архитектура; проектирование,Информатика,thesis,ru,,/files/doc67.pdf
68,Информационная безопасность,Алексеев К.П.,2017,"Рассматриваются теоретические и прикладные аспекты темы «информационная безопасность», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",безопасность; шифрование; аутентификация; уязвимости,Информатика,book,ru,,/files/doc68.pdf
69,Нейронные сети: практические аспекты,Егорова Т.В.,2019,"Рассматриваются теоретические и прикладные аспекты темы «нейронные сети», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",нейронные сети; deep learning; python; tensorflow,Информатика,article,ru,,/files/doc69.pdf
70,Обработка естественного языка,Орлов А.А.,2021,"Рассматриваются теоретические и прикладные аспекты темы «обработка естественного языка», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",nlp; тексты; трансформеры; язык,Информатика,manual,ru,,/files/doc70.pdf
71,Веб-разработка,Морозова Е.В.,2023,"Рассматриваются теоретические и прикладные аспекты темы «веб-разработка», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",веб; backend; frontend; api,Информатика,thesis,ru,,/files/doc71.pdf
72,Облачные вычисления: практические аспекты,Никитин Р.С.,2017,"Рассматриваются теоретические и прикладные аспекты темы «облачные вычисления», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",облака; виртуализация; docker; kubernetes,Информатика,book,ru,,/files/doc72.pdf
73,Компьютерное зрение,Соколова Ю.П.,2019,"Рассматриваются теоретические и прикладные аспекты темы «компьютерное зрение», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",изображения; компьютерное зрение; opencv; сверточные сети,Информатика,article,ru,,/files/doc73.pdf
74,Статистический анализ,Попов Д.С.,2021,"Рассматриваются теоретические и прикладные аспекты темы «статистический анализ», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",статистика; вероятность; выборка; гипотезы,Математика,manual,ru,,/files/doc74.pdf
75,Линейная алгебра: практические аспекты,Фролова И.А.,2023,"Рассматриваются теоретические и прикладные аспекты темы «линейная алгебра», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",матрицы; векторы; линейные пространства; собственные значения,Математика,thesis,ru,,/files/doc75.pdf
76,Математическое моделирование,Лебедев М.А.,2017,"Рассматриваются теоретические и прикладные аспекты темы «математическое моделирование», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",моделирование; дифференциальные уравнения; симуляция; численные методы,Математика,book,ru,,/files/doc76.pdf
77,Теория вероятностей,Васильева Н.Н.,2019,"Рассматриваются теоретические и прикладные аспекты темы «теория вероятностей», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",вероятность; случайные величины; распределения; стохастика,Математика,article,ru,,/files/doc77.pdf
78,Численные методы: практические аспекты,Алексеев К.П.,2021,"Рассматриваются теоретические и прикладные аспекты темы «численные методы», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",численные методы; аппроксимация; интегрирование; оптимизация,Математика,manual,ru,,/files/doc78.pdf
79,Генетика человека,Егорова Т.В.,2023,"Рассматриваются теоретические и прикладные аспекты темы «генетика человека», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",генетика; днк; наследственность; геном,Биология,thesis,ru,,/files/doc79.pdf
80,Молекулярная биология,Орлов А.А.,2017,"Рассматриваются теоретические и прикладные аспекты темы «молекулярная биология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",молекулярная биология; белки; клетка; генная экспрессия,Биология,book,ru,,/files/doc80.pdf
81,Ботаника: практические аспекты,Морозова Е.В.,2019,"Рассматриваются теоретические и прикладные аспекты темы «ботаника», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",растения; ботаника; флора; систематика,Биология,article,ru,,/files/doc81.pdf
82,Зоология,Никитин Р.С.,2021,"Рассматриваются теоретические и прикладные аспекты темы «зоология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",животные; зоология; фауна; эволюция,Биология,manual,ru,,/files/doc82.pdf
83,Микробиология,Соколова Ю.П.,2023,"Рассматриваются теоретические и прикладные аспекты темы «микробиология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",микроорганизмы; бактерии; вирусы; лаборатория,Биология,thesis,ru,,/files/doc83.pdf
84,Органическая химия: практические аспекты,Попов Д.С.,2017,"Рассматриваются теоретические и прикладные аспекты темы «органическая химия», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",органическая химия; реакции; углерод; синтез,Химия,book,ru,,/files/doc84.pdf
85,Неорганическая химия,Фролова И.А.,2019,"Рассматриваются теоретические и прикладные аспекты темы «неорганическая химия», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",неорганическая химия; соединения; металлы; реакции,Химия,article,ru,,/files/doc85.pdf
86,Физическая химия,Лебедев М.А.,2021,"Рассматриваются теоретические и прикладные аспекты темы «физическая химия», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",термодинамика; кинетика; растворы; энергия,Химия,manual,ru,,/files/doc86.pdf
87,Аналитическая химия: практические аспекты,Васильева Н.Н.,2023,"Рассматриваются теоретические и прикладные аспекты темы «аналитическая химия», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",анализ веществ; титрование; спектроскопия; лаборатория,Химия,thesis,ru,,/files/doc87.pdf
88,Экологическая химия,Алексеев К.П.,2017,"Рассматриваются теоретические и прикладные аспекты темы «экологическая химия», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",экология; загрязнение; химия среды; мониторинг,Химия,book,ru,,/files/doc88.pdf
89,Квантовая физика,Егорова Т.В.,2019,"Рассматриваются теоретические и прикладные аспекты темы «квантовая физика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",квантовая физика; волновая функция; частицы; измерения,Физика,article,ru,,/files/doc89.pdf
90,Механика: практические аспекты,Орлов А.А.,2021,"Рассматриваются теоретические и прикладные аспекты темы «механика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",механика; движение; силы; динамика,Физика,manual,ru,,/files/doc90.pdf
91,Электродинамика,Морозова Е.В.,2023,"Рассматриваются теоретические и прикладные аспекты темы «электродинамика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",электродинамика; поле; ток; магнетизм,Физика,thesis,ru,,/files/doc91.pdf
92,Оптика,Никитин Р.С.,2017,"Рассматриваются теоретические и прикладные аспекты темы «оптика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",оптика; свет; линзы; интерференция,Физика,book,ru,,/files/doc92.pdf
93,Термодинамика: практические аспекты,Соколова Ю.П.,2019,"Рассматриваются теоретические и прикладные аспекты темы «термодинамика», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",термодинамика; теплота; энтропия; энергия,Физика,article,ru,,/files/doc93.pdf
94,История России XX века,Попов Д.С.,2021,"Рассматриваются теоретические и прикладные аспекты темы «история россии xx века», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",история; россия; xx век; реформы,История,manual,ru,,/files/doc94.pdf
95,Всеобщая история,Фролова И.А.,2023,"Рассматриваются теоретические и прикладные аспекты темы «всеобщая история», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",история; цивилизации; международные отношения; войны,История,thesis,ru,,/files/doc95.pdf
96,Историография: практические аспекты,Лебедев М.А.,2017,"Рассматриваются теоретические и прикладные аспекты темы «историография», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",историография; методология; источники; исследование,История,book,ru,,/files/doc96.pdf
97,Археология,Васильева Н.Н.,2019,"Рассматриваются теоретические и прикладные аспекты темы «археология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",археология; раскопки; древности; материальная культура,История,article,ru,,/files/doc97.pdf
98,Культурология,Алексеев К.П.,2021,"Рассматриваются теоретические и прикладные аспекты темы «культурология», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",культура; традиции; общество; символы,История,manual,ru,,/files/doc98.pdf
99,Теория литературы: практические аспекты,Егорова Т.В.,2023,"Рассматриваются теоретические и прикладные аспекты темы «теория литературы», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",литература; жанры; поэтика; текст,Филология,thesis,ru,,/files/doc99.pdf
100,Русский язык и культура речи,Орлов А.А.,2017,"Рассматриваются теоретические и прикладные аспекты темы «русский язык и культура речи», методы анализа, современные подходы и примеры использования в учебной и исследовательской деятельности.",русский язык; речь; стилистика; коммуникация,Филология,book,ru,,/files/doc100.pdf
